,Healthy,ULP,SD,MTD
Healthy,1.0,0.0980508277205634,0.03455731758863223,0.0444334723854678
ULP,0.0980508277205634,1.0,0.23282888481170083,0.548229742308868
SD,0.03455731758863223,0.23282888481170083,1.0,0.403652602026087
MTD,0.0444334723854678,0.548229742308868,0.403652602026087,1.0
