,Healthy,ULP,SD,MTD
Healthy,1.0,0.0055665039654519965,0.6017317275098975,0.6017317275098975
ULP,0.0055665039654519965,1.0,0.18018956474628434,0.033462044424963366
SD,0.6017317275098975,0.18018956474628434,1.0,0.8964815645292502
MTD,0.6017317275098975,0.033462044424963366,0.8964815645292502,1.0
